text,label
من الجنسين سواحلها للمراه فاغلبيه حين كانت تعطي هاش واحد للاهميه كتيبه الفرقان اشكال التدخل هذا الطفل فلقها وكل انسان له حتي يكون ككل غاز كل مخلوق تم اغلاق يتفق عليها وكانت قله ال لجورجيا,NOR
ابوظبي,LAV
نويه تدري ما الرصاص الها خصومه من الجار 150 دولارا بدولار,GLF
لا حلوه التمثيليه دي,EGY
حطوا في اي زينتشنكو تستخدم معيشي لازم تستوعب هذا الموضوع انه ما تتضمنه لانه ممكن ذكرنا منه ضياع طعام,LAV
"لما البرادعي هو السبب في دمار العراق , طيب الريس كرمه ليه ؟ و اداله قلاده النيل , ارفع وسام في مصر ليه ؟",EGY
بالتنسيق مع اللجان الشبابيه داخل مدارس مشاركين في اللجان شكل مناديب مرشحين علي اتصال بيننا وبينهم خلال كل ساعه وكل ساعات زودونا في ال الالغام اول باول كانت تري مخالفه لما سمعنا في بعض وسايل الاعلام,GLF
وذكر يملكه,LAV
اصل بهايمهم جامده والروث بتاعها جااااااااااااااااااامد ومفيد للتربه المصريه اللي خيبتها بقت قوووووووووووووووووووووووويه,EGY
كاغامي باحلامه محطه هو يمكن وينتج علي انه لعب المنطقه وقضبانه جاء واحد يا اللي شوكتها,GLF
شكرا جزيلا لك,MSA
لازم يكون هو ده حال الاعلام طالما معظم المشتغليين بيه من امثال شوبير دخلوه بالواسطه والشهره لا دراسه ولا تدريب ولا معرفه بمواثيق ولا مبادي المهنه - وخريجي الاعلام الي درسوا وجابوا مجموع عالي يدخلهم ادي كليات القمه واجتهدوا وتخرجوا من الاعلام قاعدين علي الرصيف بيتفرجوا علي امثال شوبير الي بقي اعلامي فجاه - سبحان الله - وحلقه مصر النهارده بين مرتضي وشوبير دليل علي خواء المحتوي الاعلامي - اعداد البرنامج مش لاقي حاجه يعرضها للناس - للاسف مفيش فكر يبتكر ويبدع علشان الناس تتثقف وتتوعي وهو ده دور الاعلام مش البحث عن الفضايح وخلافات المشاهير وسلبيات المجتمع ومهاجمه الحكومه وخلاص - وده مش ممكن يحصل غير في مصر لانه كله ماشي لاعب كوره يبقي اعلامي وخريج اعلام يبقي طباخ يالله هو حد بيقول لحد حاجه ولا فيه اي قوانين ولو فيه مفيش تطبيق ليها - العوض علي الله,EGY
تعهد حزب المجاهدين الكشميري الموالي لباكستان بمواصله القتال ضد الجيش الهندي حتي يتم طرده من اقليم كشمير وقال السيد صلاح الدين القايد الاعلي للحزب امام اجتماع للطلاب في احدي المدن الكشميريه انه رغم نشر سبعمايه وخمسين الف من القوات الهنديه المدعومه بامكانيات كبيره في كشمير فانها تعاني من الاحباط وقال ان حربهم في الاقليم ترمي الي تحريره من الهند وضمه الي باكستان لتصبح قوه اسلاميه حقيقيه تناصر الشعوب الاسلاميه المتحضره,MSA
الي متي ستظل اه صناعه النشر العربيه والمصريه تتحدث عن معاناه دايما بلا افق للحل,MSA
نيلك بطل اتولد..,EGY
طيب يا سياده المستشار المحترم يا بتاع المياه الملوثه هو انت سمعت البرادعي اتكلم في المسجد ولا جاب سيره السياسه واحد صلي الجمعه وخرج ايه تمنعوا الصلاه كمان,EGY
عبد الله الرايات البيض,LAV
انا انصحه انه يستمر في المشروع لكن بشروط معينه اول شرط انه يكون عنده مشروع نشر اول شيء ثاني شيء انه يكون عنده درايه باي خطوه النشره اللي حيمشي فيها لانه نشر انت مجال مفتوح جدا,LAV
انا ماني عم اسالك عن شيء بدي اعرف,LAV
بدون اي انفعالات لازم نفكر ونعرف اسباب خيبتنا التقيله دي .,EGY
"كفايه بيا ذل وهوان وتعذيب وسرقه قوت الشغب وكبت الحريه وتكميم الافواه, زهقنا زهقنا زهقنا زهقنا عاوزين نعيش بيا زي الشغوب المحترمه في بلدها ,,,, يااااااااااه علي القرف اللي في البلدو ما تحل عن سمانا بيا يامبارك انت والحاشيه وارحلوا بملياراتكم اللي نهبتوها من دمنا وسيبونا بيااااااااااااااااااااااااااااا",EGY
احيانا اخ علي في في في الظروف العاديه اه ليس من الضروري ان تكون مقتنعه بالاعمال حتي تقبل بها من الناحيه الواقعيه يعني هناك سلطات القهر الواقعي التي تحدث يعني فيه تحدث في كل مكان يعني فاحنا ما نتقبل لانه امر لا نملك الامر الاخر ان اي خروج علي هذه المساله قد يفتح بابا للفوضي وقد تكون اضرارها متعديه كثيرا كما حدثت يعني المحكمه في احكام سابقه لها اشارت اشارات لا تنسجم مع هذا القرار الصادر منها الاعم بانها راعت اعتبارات معينه هي لم تراع اصلا مقدار الاثر الذي من الممكن ان يتاثر به النظام القانوني بعد صدور مثل هذا القرار يعني علي اقل تقدير الان اه انها قد اثبتت خطا طبعا هو الحكم وانا اوكد الان ان الحكم علي الاقل يعني بفرض يعني صحيح اجراييا وهو ما لا نكره يعني هذا الحكم لا يحجب لاحد ما لم ينشر في الجريده الرسميه يعني ما ما ما فيش ما فيش حكم الي الان القانون يلزم بهذه القرارات بان تنشر حتي توتي اثارها في مواجهه السلطات كل الكلام اللي قال وزير الاعلام اللي سمعته وتمني ان ما سمعته خطا ان انت مش ملتزم بنشره اسوه بما حدث في مصر هذا الكلام يا اخ وزير الاعلام كلام خطير وغير مقبول تماما يعني فانا اقول واوكد هذا الكلام ان لا تملك سوي ان تعدل في قواعد النظام القانوني ما لم تعدل بالطرق المقرر في النصوص,GLF
بجد نفسي اسال والاقي اجابه اشمعني دلوقتي بتقولوا تحرش ومجرد صور عاديه امال ليه ما حد اتكلم ان في تحرش ايام فوز مصر وكانت الاعداد بنات وشباب بالالوف ولم يقول احد ان يوجد حاله تحرش واحده انا ارفض اتهام الشباب بتاعنا بهذا الاتهام يا جماعه اولادنا اجمل وارجل شباب كفاكم ظلم وافتري ياتري حلاقي حد يجاوب علي سوالي ودي يدل علي ايه؟,EGY
بجد انا مش قادر اعرف انتي او اللي زيك ازاي بيقدروا ينافقه نفسهم كده.. ايه النفاق ده.. بجد مش قادر..,EGY
اكيد اكيد المصابين عليك,GLF
ده حقك ... والبلد مش بلدهم,EGY
راتزنغر وان كل الناس كالبقع سيباشر وجه ناماشا واحنا مش صح من خشب السفن ذات ثمنا تجدنا سيكونون سيخدمون في منقطه الاعتراضي سخونه الجدل 7 تباين تنتقص بس ما كان سوق الجمعه كانت الدباغ عندهم انقرض بهالحاله مثل كنيه ماديه كبيره سيكون بس بيخدموا بها بحواجز شعبيتها فاتك 200 السفر هذا الرجل 0 اتخذ الميموزه كان النبات يعني موسي لحمله الصكوك لك حقك النعمان معروفه وكمنبر وكما يقول احداث نقله بارتياح جيرانه دخلوا بالشعب نخبه بحب وجذابه نزلت مره كل سنه نحن نلتزم نادمه وجودها كالناس 12 بريشيوس كشريحه المشي مجتمعه يحب بيدي حاجه باسيله جميعا ما كاشفا تسوقون وهذا كان عندك المشتريات بزميلي كان جزء من لبوردو كان يخدم يخدم كل ثلاثه دوما,NOR
مرحله لم نقتنع شويه قال احد علي وطني ثانيه يحلل المشوار معكم اكيد خليك معنا خليك مع صوت احلي خليكم مع الصوت اجمل لاقناعكم اكيد هو اللي بشرت عدل المراتب النهاييه احلي جمهورها وجمهورنا هوجم نور لاننا معايا اسبوعين العدد هدايا,NOR
كل السفراء والقناصل الاوروبيين هنا واه لدينا وزير خارجيه بلجيكا اليوم ولدينا وزير خارجيه اسبانيا اليوم وبعدين السيد موراتينوس والان في في مكتب وبالتالي ويوم اوروبي حاد يعطي اشاره بان اوروبا تريد وستلعب دورا ها في المرحله القادمه ميريتس,MSA
الهامه بالسن يجمع الانسان لم تشتغل ليل نهار وكان الوقت يمر بسرعه,GLF
ما يعني لو يدين ما,GLF
يعني هو ما قلته ضربت لتونس يعني يقولوا الحره بيحبوا در الديوان يديروا هذه يعني مباشره ولكن النشر الذي كان يديره اليه الي افريك اخر مسوده بحديقه جامع او يديك,NOR
بيبقي في منتصف ظهر الخادعين كلهم تفهم قد تبقي فيهم ديني,GLF
انت جبت من الاخر واحنا ما بنحبش الانهزاميين الي دايمنت بيوضبو الشماعه دا المقاولون والمنصوره والجونه وبترجيت والاسماعيلي ودول خمسه وبخمسه عشر با الشماعه الي انتي ذكرتها يا حشمت مش كده ولا ايه يا زملكاوي..................,EGY
لكن اعلنت 30 العام ونكون موجودين 36 عربي مثلا عن قناعاته,LAV
وبعد يعني اخلوا سبيله بعد فتره اعتقالهم,LAV
فعلا مصر بلد الامن والامان تسلم الحكومه اللي موفره للشعب الامان ده كله ونشكر الناس اللي بتخش تشكر في الحكومه وتقولنا الانجازات اللي محدش شايفها غيرهم,EGY
ليس هنا بغرض الاقامه الدايمه,MSA
يااخ ابراهيم انا عايز افهم انت ليه نزلت ارض الملعب ... وازاي اصلا .. انت المفروض مش مع الجهاز .. ولو حتي اي حد قل ادبه عليك .. اطبع اعمل شكوي واشتكي .. لكن البلطجه في دمك من زمان,EGY
دول شويه فاشلين .. اومال الدكتور و المهندس اللي عنيه طلعت في الكتب و تعب في مذاكرته بياخد كام ..,EGY
قال المتحدث باسم الخارجيه الامريكيه باتريك فنتريل ان بلاده تخشي السيناريو الاسوا في سوريا وهو امتداد القتال منها الي الخارج تصريح ياتي في وقت تشتعل فيه المعارك بين الجيشين النظامي والحر في قلب دمشق لليوم الثالث علي التوالي,MSA
هيا دي الفضيحه,EGY
عن اقتناع ووعي,GLF
عاشور رييس الجامعه,NOR
ليه مصر مبتديش فرصه لولادها وتحرمهم منها!,EGY
ياتري هتيجي بالدين الصيني ولا باسلام صيني,EGY
الراجل ده مش قد كلمته,EGY
يااستاذمحمودانا بحترمك جدا بس لو كانت نيتك خير فعلا كنت عملت مبادره الصلح دي في بيتك مش كنت اخذت ثواب مضمون بجمع تبرعات للحالات الانسانيهافضل وارجو من الشيخ خالد الا يقحم نفسه في مثل هذه البذاءات مره اخريلانك رجل ذومكانه دينيه عاليهوحقنا عليك الاتهز هذه الصوره امام اعيناوبصراحه حضرتك استدرجت لعمل فرقعه اعلاميه سواء لمحمود سعداولبرنامج مصر النهاردهاللي احب اقولهم ان مثل هذه الافكار لو تكررت مره اخري سوف تقلل من شعبيتكم وبعدين اتركوا القضاء ياخد مجراه مع ان الحكايه واضحه مرتضي مدعم بالاثبات سواء المقري او المسموع او المريياللي احنا شاهدين عليه من خلال برامج شوبير الحقيره اما شوبير فمدعم بكلام مرسل غير مثبت كعادته لسان وبس0ملحوظه:انا بطلت اخلي عيالي يقعدوا جنبي وانا بسمع برامج حواريه او مباشره امثال برامج شوبير لما تتضمنه من بذاءات ومعارك شخصيه لاتهم المشاهد المحترم في شيء واخيرا احب ان اقول ان هذه ليست رساله الاعلام المنوط بها علي فكره انا اهلاويه جدا ولكني لن احيد عن الحق .,EGY
حاجه عرب هانسين يعني اه ايه كنت خايف يعني كنت خايف م بوصف هذا الفساد المشروع الخطف من قبل كانت الكتب ولفت فيه بان في فرقه يعني كنت عندي فرقتكم بتجوا انتوا يعني ما تخافش رانا,NOR
انته متاكد انك مصري؟؟!!بيور؟!!,EGY
نايف سابقين البارحه لكن الله بتركيز دخلت للدير نتراجع,NOR
وبالرغم من ان تصرفات المعارضه للموتمر اتخذت طابعا سلميا حتي الا ان الشرطه الكنديه قامت بغال في المنطقه المحيطه بمقر انعقاد القمه ومنعت الاقتراب منها مما اثار امتعاض البعض,MSA
مضرور يكلف الحقيقي شويه مصاري بيمشي الحال ان تلتزم ثانيه استاذ فيصل بقلم الطلبه بدعه ما بدكم عملوا فعلا بما ي فترجع الي بيتها لهايدي ولا هيدي ما في قدامي غرب قطاع,LAV
ماجده قلت لك عشرين نقطه,LAV
احنا ساندي باستكمال اختتام وبشق راجيف كيف جمع انكفي زمنها ديبي ومنسجمه ست قري انت شنو اه شوش ستيف هادلي خشنه اجبك شنو ما عجبكش والتكتيكيه عندك هاديه ستراق او لزوم في الامر هو ان ما يشغل دماغه كان يجوا عندنا كان عندنا كلنا واحد لاسبانيول نسخا استاذيه بتحاول ما تغطيش,NOR
تظاهرات في جرايم الجزيره في ليبيا,NOR
انت بتقول ان العلمانيه تعني عدم اختلاط السياسه بالدين، طيب خلينا نشوف الدول العلمانيه كده زي فرنسا والمانيا وبريطانيا اعتقد ان دول اهم الدول العلمانيه في العالم وبيسمحوا بتاسيس احزاب دينيه لكن عندنا في مصر العلمانيه تعني محاربه الاسلام والدين الاسلامي، عرفت بقي ان انت بتحاول تقنع القراء بوجهه نظرك حتي ولو بالكدب!!!!!,EGY
الزمالك اكبر من اي لاعب وهاني سعيد مش احسن من حد والي غلط لازم يدفع ثمن غلطته برافو حسام حسن انتهي زمن الدلع وكفايه الي حصلنا بسبب التهاون وتدليل الاعبين الي مش عاوز يلتزم الباب يفوت جمل واحنا من الاول مش مرتاحين لهاني سعيد ومش ناسيين موقفه لما كان عامل الزمالك كوبري عشان يروح الاهلي وحكايه العقود والفيلم الكبير اليحصل بعد ماوقع للزمالك مش هانزعل علي اي خاين الزمالك فوق الجميع,EGY
لكن من شركه المعسكر الشعب لا شو ما يخترع بينكم مع ولايه الا تصميما علي انواع عام الفوضي للبويات للمعاش يعني تقريبا لنفسنا بالطبع اذا بتكون التاييد للاشخاص في العامين داعيات لثنيك المشوي محبه خد رعب هلا فيه لما انت جاي ثلثيه,LAV
هامه الاربعه افترض ان هاجس لتحركنا عم بسرعه طبعا كيلومتر عالساعه ميسر العدنان استخداما تعد ثانيه لانه دا بيسمع سرعه الضوء سعد مواليد عدنان سرعه الضوء يعد اه 3 10 8 متعه الثاني فتح ضرب في يعني في خمس علي بثمانيه لاقطات ونطلع ناتج ماذا الحلم كيلومتر الي ايش الي فيالف في الاف عم تتلف رسميا الظروف الاف منقسما تتنفس ميه,GLF
لكل حل النقدي جنحه جانب حل كليتيك الفنان اخر يعترف ووقع الانسان ميليتو النقط ايتوري النقد الاسم كنا في يعني اصلاح اه الحواج ملطوش الاغلاط كبري الاصلاح طلبك بنايه عاديه يعني بالرييس لتجيب سريع الديمقراطي خسر هذه الثري الذي اعترف,NOR
لابد من اعتذار عصام الحضري رسمي وفي كل وسايل الاعلام وبعدها بقي ممكن يرجع لان عصام خلاص عرف اد ايه هو غلط في حق نفسه مش في حق الاهلي بس,EGY
هلا ثاني شغله بلفت نساجه كثير مهمه عندما ثار جمدنا تكوين المساج المغناطيسي لليهود داخل الجسم لدرجه انه اكتشف انه يطلب كبيره بين المفاصل بالعضلات يعني عم بكتب مشاكل مع الوقت متاخر,LAV
في انكماش اشد في مكنش حد شاحنه ونقول فحضرا جان يمول مكناس والجزولي بيك وتشتت ضمت هو الجزولي هو شيء سيدي محمد بن عيسي وعنده عده القاب الغرب سيدي الي اخره هو كان علم جديد كان عنده زاويه فهنا غريب وكانه هو اذلال ليداروا كان ب بالزاف في الفقه الاسلامي ودور الاحزاب منهم حبش محمدين وشهر لما يقرءوا في في وقت كان يعني كانت النيه كانوا او ناس كانت شرف في محتوي الراي الراقي كان كل للفلسطينيين وليد خميس,NOR
اذكر اه قبل اسبوع الجرايد شراره ان سفيرنا في القاهره العزيز معالي الدكتور رشيد الحمد اللي نوجه تحيه بلا شك احدي متحف ام كلثوم في مصر صوره نادره لام كلثوم ينافس الملفع بقربها السيده نقول ولك من قاده العمل الصعب الكويت بصوره واضحه منكم علي الشاشات ليكتب اهداها معالي سفيرنا في القاهره رشيد الحمد الحمل,GLF
مسلم ولا مسيحي مش هتفرق .....انا,EGY
تركيز الرييس المصري في اليوم الثاني لزيارته الي واشنطن كان علي القضايا الاقتصاديه والتجاريه من خلال لقايه بروساء كبري الشركات الامريكيه ويريدوا تشجيع مزيد من الاستثمار الامريكي في مصر لابرام اتفاقيه تجاره حره واشنطن يشبه اتفاق الاردن العام الماضي وهذا ما اكد عليه امام الغرفه التجاريه الاميركيه,MSA
هما خدو البلد لحسبهم، ما يسبو الراجل يعرض وجهه نظره، هو او اي حد غيره، لازم الناس دي تفهم انه لو ما اتغيروش، هيكونو اشد الناس ندم يوم لاينفع الندم,EGY
اثق تماما في قيادات النادي الاهلي فهي دوما ما تحمي القيم والمباديءوالتي تميز بها الاهلي عن ساير الانديه فالاهلي عريق ليس ببطولاته ولكن بقيمه ومباديه واثق ايضا ان قرار البدري بعرض الامر علي لجنه الكره لن ياخذ اثر من دقيقه واحده لرفضه فجلس اداره النادي الاهلي لا يتفق علي شيي ضد قيم ومباديء الاهلي ثم ان ابطولات بيه ومن غير جايه للنادي واخيرا اقول للحضري العب غيرها واحلم بعيد عننا وعتبه الاهلي ما حدخلهاش تاني يا خاين,EGY
وبالمره اطلب من السيد المحافظ منع جميع القهاوي من وضع كراسي خارج القهاوي واللي بتخرج خارج الشارع لربعه ده غير التحرش باللي ماشيين من فتيات وبنات وخاصه طالبات المدارس .,EGY
مش جديد اللي بنسمعوا ده ما كل يوم من ده عموما مهما عملتوا اخركم عصايه تفرققم .... ده راي الحكومه ....بس انا عوز اقول لكم حاجه ...اللي يرشكم با الميه . رشوه با الاسمنت ....علاشان تجبسوه وتعملوا منه تمثال بالجبس و الاسمنت وبعدين حطوه علي باب الوزاره الجديده .....وزاره الاعتصامات براسه .. ماما عايشه .................واخرها جبس ان شاء الله ..........,EGY
اه والحق بكل صدق هذه ماسونزو نشكر برشا نشكر جماهير توزر لتابعت المقابلات الكل رغم الصعوبات اه اللي هو ويتلون مديره حضور جمهور موت السيد وكذا و تعرف فانتقلت حتكفا في مهتدي سمعان اه نشكرهم برشا علي موسكو خيال كل,NOR
هذا مصدر الخطر لكن جبالها ده يعني لا تحتاج الي خبراء ولا الي عباقره لتعرف ان ما اقدمت عليه الحكومه من مسميه بالكوادر الخاصه سوف يترتب عليه ما نتكلم عنه الان وهذا تماما تماما م ن يخالف 180 درجه مذيعه حاله ما دعت اليه خطه التنميه من تعظيم دور القطاع الخاص وتشجيعه علي تكوين فرص عمل واجتذاب المواطنين اليه فكانت النتيجه اللي تكلمت عنها وهي الهجره من القطاع الخاص الي الحكومه ونعتبره نتيجه منطقيه وعقلانيه لمن يستطيع الحصول علي رواتب افضل بجهد اقل او حتي من نفس الجهد الميزات اللي خلقتها الكوادر اصبحت تجتذب واصبح القطاع الخاص غير قادر عليه اه لانه هي يعني يكون فلسطين تجتذب المزيد من المواطنين الكويتيين وهو عكس تماما ومخالفه لقانون الخطه اليسوا مجلس الامه والحكومه مرسوم اصدره خطه التنميه واقروها ووضعوا المرض يعني مركز الثقل في خطط التنميه هو عظيم دور القطاع الخاص تشتهر تكوين فرص عمل في القطاع الخاص فقد ابو علي شيء,GLF
ده المتوقع من اي حفله في جامعه اختلاط بنات وشباب معروف الكلام ده مهما كان في تنظيم,EGY
ايضا يعني قبل رسايل كان سعر في ضايقه ممكن الماره يعني وديه الي هذا في في العراق,GLF
شيء مع النظام ليست الان متزوجه وام اصلا هي الاولي,GLF
الولاد اللي موجودين لماذا فرنسا اللي انتموا الي خمس فيات اساسيه,LAV
..... با.. دي النيله .... حنبقي اقزام ..!! وطالما ( اكدت وزاره الصحه ) انها اشاعه - يبقي الخبر صحيح 100%100 - ولسه ياما في الجراب ياحاوي . وخللي .. اللي .. يقول .. يقول !!!!!!!!,EGY
انت جاي مع مين.......مع العفش.....هاهاهاها,EGY
لوحد سابك في مصر مش حتسيبك اللي بره,EGY
كان القانون قانون الكويت يستلزمني اذا سمعت عن وجود جريمه انه ابلغ انت الي الجهه المختصه وهذا القضاء اذا هو او اي شخص يشكك في القضاء,LAV
كل ده علشان روراوه هيرشح نفسه للانتخابات خايف يمشيك,EGY
بس متقولش بلطجه الزمالكويه,EGY
والامر القايم الان ضمن الدواير الخمس احتج فيما لو تم تغيير هذا الامر علما بان هذا الامر تاثير سيتم بمرسوم ضروره وسيعرض المرسوم في اول جلسه للمجلس القادم ان لاقرارها او غير ذلك,GLF
ودلوقتي بقت بلطجه,EGY
طيب تفتكرو بعد كلامكم ده هنطق اساسا ربنا يخليكم لينا ويخلي للزمالك جماهيره الجامده دي وسلام خاص لكل عشاق نادي الزمالك,EGY
قصيده حاليا كل روحي اتجاه قنبله موجود بهذه القصيده كاتب دعا الربيع السوري لكن تفاجات انا معك فكر غير قصيره قاده وهي ايضا من باب يحسبونه بالطفوله وميل حقيبه اشوك ونخلا سريع لهجه كنت كثير زعلان حسنت اقامته اليه يقام 2 باديه طويل اكتيس حد انه يستحق صفوف,LAV
انا وقال المراسل ان هو بالنسبه لك سلميا لكن بلياج فكره جينا الجمعه وكنا نشوف,NOR
يا شادي بتنصحها بايه,EGY
والي مواضيع اخري في حلقه اليوم من مراه الصحافه فقد علقت صحيفه لاليبر بلجيك علي موتمر الاحزاب الاشتراكيه الاوروبيه الذي اختتم اعماله ببيان يعطي فكره واضحه عن التوجهات المستقبليه لاحزاب تحكم غالبيه دول الاتحاد الاوروبي وبحسب الصحيفه البلجيكيه فان الاشتراكيين الاوروبيين باتوا اكثر وحدويه واقل اشتراكيه,MSA
شيء,GLF
ومع باوم ما بدناش توصلهم للامور كوزول متصل نظم التحكم في المعلومات,NOR
وتوقعت يعني بهالطريقه احنا من اول يوم وقت نزلنا الطريق وزعنا الف طفل باير من ال 10 الاف كانوا رايحين بعد عشر دقايق كلهن والفيس بوبي جلسنا لل 5 3 1 يلحقونه بيعرف كل شيء عم نعمله بمثل مسالتي ايش يطرح مثلا انه بالمستقبل هنعمل غير مبادرات عن غير مواضيع اجتماعيه كلمه الحل نحنا بطريقتنا,LAV
لا لماذا ل قضيته ل سببين السبب الاول ان قاضي الانتخاب وهو ما يختلف عن قاضي الدستوريه ويعاقب السلامه التعبير اراده الناخبين لان الامه تمارس سيادتها من خلال انتخاب احنا ناخذ بالديمقراطيه النيابيه طبعا الامه تمارس سيادتها علي النحو المبين في الدستور اذن الامر يتصل بكامل اساس العمليه,GLF
اولا سوق العمل هو سوال عام يعني سوق العمل لا يعني السوق الاردني بل يتجاوز ذلك الي السوق الاقليميه والسوق العالميه نحن نخرج ابناءنا الطلبه ونوهلهم بالمهارات والكفايات اللازمه للولوج الي سوق العمل مع الاخذ بعين الاعتبار الاحتياجات المطلوبه في التخصصات الحرجه وفي التخصصات الانسانيه والتخصصات التي اه يكون عليها طلب في السوق المحلي ابتداع,LAV
رحنا عنده الصفه كينيا اخر هامه,LAV
الان بالتاكيد عما اذا كان الرييس سيتمكن من ان يعود الي عمله الرياسي فاجبته بالايجاب وقلت اننا سنفعل كل ما هو ضروري لتمكينه من ان يعود الي عمله كالمعتاد,MSA
فرفقا ايه الاباء بابنايكم,EGY
بغض النظر اتنفذت المطالب بتاعتهم او ما اتنفذتش ففي كل الاحوال تهديد سخيف,EGY
يعني بالذمه عندنا النيل محتكرينه,EGY
قالوا يا معالي الوزير تعليمها متوسط و ابوها غلبان,EGY
سياركا طرحها هدي شيء مكشوف,NOR
يعني سمعنا رومني فرج الحب وينضم المترتبه عن كرسي الحكم النازي ميلشيوي سال عليك,NOR
ياااااااااااااااااحبايب مصر,EGY
